face,i,j,center_x_mm,center_y_mm,center_z_mm,orientation
bottom(z=0),3,4,350.0,450.0,100.0,+z
bottom(z=0),3,5,350.0,550.0,100.0,+z
bottom(z=0),3,6,350.0,650.0,100.0,+z
bottom(z=0),3,7,350.0,750.0,100.0,+z
bottom(z=0),3,8,350.0,850.0,100.0,+z
bottom(z=0),3,9,350.0,950.0,100.0,+z
bottom(z=0),3,10,350.0,1050.0,100.0,+z
bottom(z=0),3,11,350.0,1150.0,100.0,+z
bottom(z=0),3,12,350.0,1250.0,100.0,+z
bottom(z=0),3,13,350.0,1350.0,100.0,+z
bottom(z=0),3,14,350.0,1450.0,100.0,+z
bottom(z=0),3,15,350.0,1550.0,100.0,+z
bottom(z=0),3,16,350.0,1650.0,100.0,+z
bottom(z=0),3,17,350.0,1750.0,100.0,+z
bottom(z=0),3,18,350.0,1850.0,100.0,+z
bottom(z=0),3,19,350.0,1950.0,100.0,+z
bottom(z=0),3,20,350.0,2050.0,100.0,+z
bottom(z=0),3,21,350.0,2150.0,100.0,+z
bottom(z=0),3,22,350.0,2250.0,100.0,+z
bottom(z=0),3,23,350.0,2350.0,100.0,+z
bottom(z=0),3,24,350.0,2450.0,100.0,+z
bottom(z=0),3,25,350.0,2550.0,100.0,+z
bottom(z=0),3,26,350.0,2650.0,100.0,+z
bottom(z=0),3,27,350.0,2750.0,100.0,+z
bottom(z=0),3,28,350.0,2850.0,100.0,+z
bottom(z=0),3,29,350.0,2950.0,100.0,+z
bottom(z=0),3,30,350.0,3050.0,100.0,+z
bottom(z=0),3,31,350.0,3150.0,100.0,+z
bottom(z=0),3,32,350.0,3250.0,100.0,+z
bottom(z=0),3,33,350.0,3350.0,100.0,+z
bottom(z=0),3,34,350.0,3450.0,100.0,+z
bottom(z=0),3,35,350.0,3550.0,100.0,+z
bottom(z=0),3,36,350.0,3650.0,100.0,+z
bottom(z=0),3,37,350.0,3750.0,100.0,+z
bottom(z=0),3,38,350.0,3850.0,100.0,+z
bottom(z=0),3,39,350.0,3950.0,100.0,+z
bottom(z=0),3,40,350.0,4050.0,100.0,+z
bottom(z=0),3,41,350.0,4150.0,100.0,+z
bottom(z=0),3,42,350.0,4250.0,100.0,+z
bottom(z=0),3,43,350.0,4350.0,100.0,+z
bottom(z=0),3,44,350.0,4450.0,100.0,+z
bottom(z=0),3,45,350.0,4550.0,100.0,+z
bottom(z=0),3,46,350.0,4650.0,100.0,+z
bottom(z=0),3,47,350.0,4750.0,100.0,+z
bottom(z=0),3,48,350.0,4850.0,100.0,+z
bottom(z=0),3,49,350.0,4950.0,100.0,+z
bottom(z=0),3,50,350.0,5050.0,100.0,+z
bottom(z=0),3,51,350.0,5150.0,100.0,+z
bottom(z=0),3,52,350.0,5250.0,100.0,+z
bottom(z=0),3,53,350.0,5350.0,100.0,+z
bottom(z=0),3,54,350.0,5450.0,100.0,+z
bottom(z=0),3,55,350.0,5550.0,100.0,+z
bottom(z=0),3,56,350.0,5650.0,100.0,+z
bottom(z=0),3,57,350.0,5750.0,100.0,+z
bottom(z=0),3,58,350.0,5850.0,100.0,+z
bottom(z=0),3,59,350.0,5950.0,100.0,+z
bottom(z=0),3,60,350.0,6050.0,100.0,+z
bottom(z=0),3,61,350.0,6150.0,100.0,+z
bottom(z=0),3,62,350.0,6250.0,100.0,+z
bottom(z=0),3,63,350.0,6350.0,100.0,+z
bottom(z=0),3,64,350.0,6450.0,100.0,+z
bottom(z=0),3,65,350.0,6550.0,100.0,+z
bottom(z=0),3,66,350.0,6650.0,100.0,+z
bottom(z=0),3,67,350.0,6750.0,100.0,+z
bottom(z=0),3,68,350.0,6850.0,100.0,+z
bottom(z=0),3,69,350.0,6950.0,100.0,+z
bottom(z=0),3,70,350.0,7050.0,100.0,+z
bottom(z=0),3,71,350.0,7150.0,100.0,+z
bottom(z=0),3,72,350.0,7250.0,100.0,+z
bottom(z=0),3,73,350.0,7350.0,100.0,+z
bottom(z=0),3,74,350.0,7450.0,100.0,+z
bottom(z=0),4,0,450.0,50.0,100.0,+z
bottom(z=0),4,1,450.0,150.0,100.0,+z
bottom(z=0),4,2,450.0,250.0,100.0,+z
bottom(z=0),4,3,450.0,350.0,100.0,+z
bottom(z=0),4,4,450.0,450.0,100.0,+z
bottom(z=0),4,5,450.0,550.0,100.0,+z
bottom(z=0),4,6,450.0,650.0,100.0,+z
bottom(z=0),4,7,450.0,750.0,100.0,+z
bottom(z=0),4,8,450.0,850.0,100.0,+z
bottom(z=0),4,9,450.0,950.0,100.0,+z
bottom(z=0),4,10,450.0,1050.0,100.0,+z
bottom(z=0),4,11,450.0,1150.0,100.0,+z
bottom(z=0),4,12,450.0,1250.0,100.0,+z
bottom(z=0),4,13,450.0,1350.0,100.0,+z
bottom(z=0),4,14,450.0,1450.0,100.0,+z
